total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
61,1.000000000000000,1,1,3,2,-.4023407573977527,1,1330,91.06645060115818,1,484,6.434836,1.038424
62,1.000000000000000,1,1,3,3,-.6277100134182679,1,1330,87.36919218397178,1,484,3.715719,1.752081
63,1.000000000000000,1,1,3,4,-.7942843851020979,1,1330,83.78553436759626,1,484,3.321263,1.711463
64,1.000000000000000,1,1,3,5,-.6651525303318059,1,1330,78.35517984278781,1,484,3.730722,1.174257
65,1.000000000000000,1,1,3,6,-.4808232048007045,1,1330,70.16431182013662,1,484,3.509220,1.338907
66,1.000000000000000,1,1,3,7,-.5531518909108860,1,1401,52.87714450916753,1,484,2.786410,2.349941
67,1.000000000000000,1,1,3,8,-.9308779519529901,1,1401,19.71276071789912,1,484,5.396155,0.9325994
68,1.000000000000000,1,1,3,9,-1.483555327982398,1,1401,-26.89657476480000,1,484,3.974085,1.583795
69,1.000000000000000,1,1,3,10,-1.374308565055617,1,1401,-64.35209505582850,1,484,2.934315,1.414712
70,1.000000000000000,1,1,3,11,.3751426021334189E-01,1,1401,-63.20708547185099,1,484,-0.5263035,0.8796451
71,1.000000000000000,1,1,3,12,-1.250173927062139,1,1496,-21.19081552567051,1,484,-7.626322,22.36587
72,1.000000000000000,1,1,3,13,-.4076486449665649,1,1496,-22.95265851611467,1,484,3.325452,0.8110497
73,1.000000000000000,1,1,3,14,-.4981592445073166,1,1496,-12.37676961505501,1,484,1.765098,11.67639
74,1.000000000000000,1,1,3,15,.6862493785739228,1,1496,-16.49534578325808,1,484,-8.899144,0.8185936
75,1.000000000000000,1,1,3,16,-1.312693216857280,1,1496,-5.410309328732857,1,484,-0.6286912,9.648788
76,1.000000000000000,1,1,3,17,-.2747392369120244,1,1496,-2.482177344874580,1,484,4.821893,0.9473559
77,1.000000000000000,1,1,3,18,-.2152876242184896,1,1502,-1.401668497168952,1,484,6.719203,0.8406508
78,1.000000000000000,1,1,3,19,.5036642993752181E-01,1,1496,-1.312565584887941,1,484,0.4144289,6.744870
79,1.000000000000000,1,1,3,20,-.5121694418335711E-01,1,1502,-.3371789145771998,1,484,3.968876,2.501983
80,1.000000000000000,1,1,3,21,-.2362331262109450E-01,1,1502,-.1006628193041071,1,484,2.504774,0.8314270
81,1.000000000000000,1,1,3,22,-.1305592726798588E-01,1,1502,.5171595292047123E-01,1,1552,2.278761,2.969097
82,1.000000000000000,1,1,3,23,-.6869286941938001E-02,1,1502,.5269191816534699E-01,1,484,2.125916,1.010410
83,1.000000000000000,1,1,3,24,-.3996365032677290E-02,1,63,.1011370211847453,1,484,1.806709,13.82852
84,1.000000000000000,1,1,3,25,-.2027007392719933E-02,1,1502,.9804492287382717E-01,1,484,2.536801,0.8091671
85,1.000000000000000,1,1,3,26,.2062362344332838E-03,1,1502,.9542007335807594E-01,1,484,-1.625136,2.081111
86,1.000000000000000,1,1,3,27,-.1758470443994629E-02,1,63,.4832345724574007E-01,1,484,-2.188406,19.72612
87,1.000000000000000,1,1,3,28,-.4662473883977901E-03,1,1502,.4812912189197444E-01,1,484,4.947761,0.8613911
88,1.000000000000000,1,1,3,29,.1066350313448098E-04,1,1329,.4371066965060359E-01,1,484,-0.6194392,1.179553
89,1.000000000000000,1,1,3,30,-.1999076829131702E-03,1,1157,.2893371426508537E-01,1,484,-6.028520,2.362346
90,1.000000000000000,1,1,3,31,-.8859281985696997E-04,1,1157,.2177631151680368E-01,1,484,1.043420,4.760094
91,1.000000000000000,1,1,3,32,-.6339463857183426E-04,1,1401,.1708422267155515E-01,1,484,4.221831,0.8662137
